"","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","location","lat_long","long","lat","activity","reaction","sounds"
"1469","7H-AM-1006-10","07H","1",2018-10-06,10,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9704831177035 40.7699878995692)",-73.9704831177035,40.7699878995692,"1","1","0"
"1470","7F-AM-1008-15","07F","1",2018-10-08,15,"2","1",NA,"Gray+","1","POINT (-73.9724806580638 40.7710077206132)",-73.9724806580638,40.7710077206132,"1","1","0"
"1471","30D-AM-1017-01","30D","1",2018-10-17,1,"1","1",NA,"Gray+","1","POINT (-73.9614902429282 40.7891282017625)",-73.9614902429282,40.7891282017625,"3","1","0"
"1472","13F-PM-1008-02","13F","2",2018-10-08,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9698611971209 40.7753915552001)",-73.9698611971209,40.7753915552001,"2","2","0"
"1473","33F-PM-1012-03","33F","2",2018-10-12,3,"1","3","Gray","Black+Gray","1","POINT (-73.9584064190878 40.7912992852442)",-73.9584064190878,40.7912992852442,"2","1","0"
"1474","3A-PM-1017-04","03A","2",2018-10-17,4,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9801971465604 40.7697081749827)",-73.9801971465604,40.7697081749827,"3","3","0"
"1475","14F-PM-1012-04","14F","2",2018-10-12,4,"0","0",NA,"+","0","POINT (-73.96867781674841 40.7765625256946)",-73.9686778167484,40.7765625256946,"0","0","1"
"1476","7C-PM-1020-04","07C","2",2018-10-20,4,"1","1",NA,"Gray+","2","POINT (-73.976609486498 40.7717832922535)",-73.976609486498,40.7717832922535,"4","2","0"
"1477","37C-AM-1012-02","37C","1",2018-10-12,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9589635326362 40.7951748673846)",-73.9589635326362,40.7951748673846,"3","1","0"
"1478","25A-AM-1013-01","25A","1",2018-10-13,1,"0","1","White","Gray+White","1","POINT (-73.96763709851662 40.7869888639434)",-73.9676370985166,40.7869888639434,"2","1","0"
"1479","10G-PM-1017-09","10G","2",2018-10-17,9,"1","1",NA,"Gray+","1","POINT (-73.9707498430394 40.7723724480959)",-73.9707498430394,40.7723724480959,"5","1","0"
"1480","34A-PM-1013-02","34A","2",2018-10-13,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9628525533831 40.7938449345017)",-73.9628525533831,40.7938449345017,"4","0","0"
"1481","38G-PM-1020-03","38G","2",2018-10-20,3,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9538867186376 40.7941409434007)",-73.9538867186376,40.7941409434007,"1","1","0"
"1482","36C-AM-1014-02","36C","1",2018-10-14,2,"2","1","White","Gray+White","1","POINT (-73.9588610195699 40.7945269936639)",-73.9588610195699,40.7945269936639,"2","1","0"
"1483","33I-AM-1008-05","33I","1",2018-10-08,5,"1","0",NA,"+","2","POINT (-73.9545773579075 40.7898684635744)",-73.9545773579075,40.7898684635744,"4","1","0"
"1484","12E-AM-1017-07","12E","1",2018-10-17,7,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9716736557408 40.7749333494336)",-73.9716736557408,40.7749333494336,"1","2","0"
"1485","2C-PM-1013-12","02C","2",2018-10-13,12,"1","1","White","Gray+White","1","POINT (-73.9791085350047 40.7677025342633)",-73.9791085350047,40.7677025342633,"3","3","0"
"1486","33I-PM-1006-02","33I","2",2018-10-06,2,"1","3",NA,"Black+","1","POINT (-73.9545807749923 40.7900507537649)",-73.9545807749923,40.7900507537649,"3","2","0"
"1487","15I-PM-1012-05","15I","2",2018-10-12,5,"1","1",NA,"Gray+","2","POINT (-73.965394655961 40.7763136791661)",-73.965394655961,40.7763136791661,"1","0","0"
"1488","15G-AM-1008-03","15G","1",2018-10-08,3,"1","1",NA,"Gray+","1","POINT (-73.9676692772518 40.7764726688908)",-73.9676692772518,40.7764726688908,"5","0","1"
"1489","12G-AM-1012-02","12G","1",2018-10-12,2,"1","1",NA,"Gray+","1","POINT (-73.9690072647093 40.7737712267463)",-73.9690072647093,40.7737712267463,"3","1","0"
"1490","42H-PM-1014-05","42H","2",2018-10-14,5,"1","1","White","Gray+White","2","POINT (-73.9501762527462 40.7975534086077)",-73.9501762527462,40.7975534086077,"1","2","0"
"1491","14B-PM-1014-01","14B","2",2018-10-14,1,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9727405679487 40.7782677554482)",-73.9727405679487,40.7782677554482,"3","0","0"
